admission_number,first_name,last_name,email
80000,Helen,Burke,helen.burke80000@school.ac.ke
80001,Grace,Cole,grace.cole80001@school.ac.ke
80002,George,Crawford,george.crawford80002@academy.ac.ke
80003,Timothy,Kosgey,timothy.kosgey80003@uni.ac.ke
80004,Edith,Hawkins,edith.hawkins80004@school.ac.ke
80005,Maria,Moore,maria.moore80005@school.ac.ke
80006,Ruth,Roberts,ruth.roberts80006@uni.ac.ke
80007,Amanda,Russell,amanda.russell80007@students.ac.ke
80008,Brandon,Kosgey,brandon.kosgey80008@students.ac.ke
80009,Robert,Torres,robert.torres80009@college.ac.ke
80010,Joyce,Owen,joyce.owen80010@students.ac.ke
80011,Donna,Brooks,donna.brooks80011@school.ac.ke
80012,Victoria,Murray,victoria.murray80012@school.ac.ke
80013,Brian,Powell,brian.powell80013@school.ac.ke
80014,Jerry,Sanders,jerry.sanders80014@academy.ac.ke
80015,Samantha,Bailey,samantha.bailey80015@students.ac.ke
80016,Kevin,Kiprop,kevin.kiprop80016@uni.ac.ke
80017,Joan,Richardson,joan.richardson80017@academy.ac.ke
80018,Edward,Clark,edward.clark80018@academy.ac.ke
80019,Dennis,Thompson,dennis.thompson80019@uni.ac.ke
80020,Rose,Murray,rose.murray80020@students.ac.ke
80021,Kevin,Adhiambo,kevin.adhiambo80021@school.ac.ke
80022,Justin,Bryant,justin.bryant80022@academy.ac.ke
80023,Jack,Barnes,jack.barnes80023@academy.ac.ke
80024,Sarah,Fox,sarah.fox80024@academy.ac.ke
80025,Margaret,Otieno,margaret.otieno80025@college.ac.ke
80026,Nancy,Reed,nancy.reed80026@school.ac.ke
80027,Joan,Marshall,joan.marshall80027@school.ac.ke
80028,George,Carvalho,george.carvalho80028@college.ac.ke
80029,Betty,Cox,betty.cox80029@academy.ac.ke
80030,Tyler,Allen,tyler.allen80030@college.ac.ke
80031,Brandon,Davis,brandon.davis80031@college.ac.ke
80032,Rachel,Bowers,rachel.bowers80032@students.ac.ke
80033,Jacob,Hayes,jacob.hayes80033@academy.ac.ke
80034,Nicholas,Hoffman,nicholas.hoffman80034@students.ac.ke
80035,Victoria,Ngeno,victoria.ngeno80035@college.ac.ke
80036,Daniel,Pena,daniel.pena80036@school.ac.ke
80037,Heather,Foster,heather.foster80037@students.ac.ke
80038,Matthew,Torres,matthew.torres80038@students.ac.ke
80039,Jerry,Cole,jerry.cole80039@academy.ac.ke
80040,Christine,Rodrigues,christine.rodrigues80040@uni.ac.ke
80041,Catherine,Hicks,catherine.hicks80041@academy.ac.ke
80042,Emily,Fields,emily.fields80042@school.ac.ke
80043,Jonathan,Gibson,jonathan.gibson80043@uni.ac.ke
