admission_number,first_name,last_name,email
70000,Beatrice,Mumo,beatrice.mumo70000@academy.ac.ke
70001,Lydia,Chebet,lydia.chebet70001@college.ac.ke
70002,Harold,Njoki,harold.njoki70002@school.ac.ke
70003,Mary,Owino,mary.owino70003@academy.ac.ke
70004,Peter,Njoroge,peter.njoroge70004@students.ac.ke
70005,Lydia,Ibrahim,lydia.ibrahim70005@college.ac.ke
70006,Harold,Wanjiku,harold.wanjiku70006@academy.ac.ke
70007,Brian,Kamau,brian.kamau70007@uni.ac.ke
70008,Hannah,Okello,hannah.okello70008@college.ac.ke
70009,Bernard,Khalid,bernard.khalid70009@school.ac.ke
70010,Peter,Wanjiku,peter.wanjiku70010@school.ac.ke
70011,Bernard,Juma,bernard.juma70011@students.ac.ke
70012,Beatrice,Kinyua,beatrice.kinyua70012@students.ac.ke
70013,Alice,Gitonga,alice.gitonga70013@college.ac.ke
70014,Gladys,Owino,gladys.owino70014@uni.ac.ke
70015,Thomas,Okello,thomas.okello70015@uni.ac.ke
70016,Lydia,Njuguna,lydia.njuguna70016@uni.ac.ke
70017,Moses,Omar,moses.omar70017@college.ac.ke
70018,Joy,Kiprotich,joy.kiprotich70018@students.ac.ke
70019,Joseph,Ahmed,joseph.ahmed70019@college.ac.ke
70020,Diana,Kinyua,diana.kinyua70020@academy.ac.ke
70021,Edith,Mwenda,edith.mwenda70021@school.ac.ke
70022,Beatrice,Kiprotich,beatrice.kiprotich70022@college.ac.ke
70023,Joyce,Koech,joyce.koech70023@students.ac.ke
70024,Esther,Njuguna,esther.njuguna70024@college.ac.ke
70025,Edwin,Mumo,edwin.mumo70025@school.ac.ke
70026,Peter,Awuor,peter.awuor70026@students.ac.ke
70027,Jacob,Ngetich,jacob.ngetich70027@school.ac.ke
70028,Kenneth,Koech,kenneth.koech70028@school.ac.ke
70029,Julian,Musyoka,julian.musyoka70029@school.ac.ke
70030,Victor,Owino,victor.owino70030@students.ac.ke
70031,Bernard,Okello,bernard.okello70031@school.ac.ke
70032,Hannah,Kasyoka,hannah.kasyoka70032@school.ac.ke
70033,Florence,Farah,florence.farah70033@school.ac.ke
70034,Daniel,Omondi,daniel.omondi70034@uni.ac.ke
70035,Douglas,Akumu,douglas.akumu70035@school.ac.ke
70036,Gloria,Mumo,gloria.mumo70036@college.ac.ke
70037,David,Juma,david.juma70037@school.ac.ke
70038,John,Gitau,john.gitau70038@school.ac.ke
70039,John,Njoki,john.njoki70039@uni.ac.ke
70040,Grace,Maina,grace.maina70040@students.ac.ke
70041,Jacob,Farah,jacob.farah70041@academy.ac.ke
70042,Lydia,Lagat,lydia.lagat70042@academy.ac.ke
70043,Samuel,Awuor,samuel.awuor70043@school.ac.ke
70044,David,Ahmed,david.ahmed70044@uni.ac.ke
70045,Mary,Lagat,mary.lagat70045@academy.ac.ke
70046,George,Mbatha,george.mbatha70046@college.ac.ke
70047,Diana,Njoroge,diana.njoroge70047@academy.ac.ke
70048,Peter,Awuor,peter.awuor70048@academy.ac.ke
70049,Jacob,Musyoka,jacob.musyoka70049@academy.ac.ke
70050,Hannah,Kinyua,hannah.kinyua70050@academy.ac.ke
70051,Ivan,Nduku,ivan.nduku70051@students.ac.ke
70052,John,Ochieng,john.ochieng70052@students.ac.ke
70053,Peter,Muturi,peter.muturi70053@uni.ac.ke
70054,Mary,Mwenda,mary.mwenda70054@college.ac.ke
70055,Grace,Okello,grace.okello70055@college.ac.ke
70056,Betty,Onyango,betty.onyango70056@uni.ac.ke
70057,Joy,Kiptoo,joy.kiptoo70057@students.ac.ke
70058,Julian,Ngetich,julian.ngetich70058@college.ac.ke
70059,Gordon,Ndegwa,gordon.ndegwa70059@uni.ac.ke
70060,Quentin,Gichuki,quentin.gichuki70060@students.ac.ke
70061,Eric,Maina,eric.maina70061@students.ac.ke
70062,Brian,Mumo,brian.mumo70062@academy.ac.ke
70063,Raymond,Mbatha,raymond.mbatha70063@school.ac.ke
70064,Joy,Kinyua,joy.kinyua70064@academy.ac.ke
70065,Francis,Okello,francis.okello70065@uni.ac.ke
70066,Frances,Abdi,frances.abdi70066@students.ac.ke
70067,Betty,Adhiambo,betty.adhiambo70067@uni.ac.ke
70068,Peter,Kinyua,peter.kinyua70068@academy.ac.ke
70069,Alice,Lagat,alice.lagat70069@school.ac.ke
70070,Bernard,Nduku,bernard.nduku70070@uni.ac.ke
70071,Joy,Gitau,joy.gitau70071@college.ac.ke
70072,Carol,Mwenda,carol.mwenda70072@uni.ac.ke
70073,Charles,Wairimu,charles.wairimu70073@academy.ac.ke
70074,Julian,Adhiambo,julian.adhiambo70074@academy.ac.ke
70075,Diana,Mbatha,diana.mbatha70075@school.ac.ke
70076,Esther,Gichuki,esther.gichuki70076@uni.ac.ke
70077,Henry,Mwenda,henry.mwenda70077@academy.ac.ke
70078,Robert,Adhiambo,robert.adhiambo70078@students.ac.ke
70079,Helen,Onyango,helen.onyango70079@college.ac.ke
70080,Agnes,Ngetich,agnes.ngetich70080@college.ac.ke
70081,Eleanor,Gitau,eleanor.gitau70081@college.ac.ke
70082,George,Bett,george.bett70082@students.ac.ke
70083,Irene,Wanjiku,irene.wanjiku70083@college.ac.ke
70084,Thomas,Bett,thomas.bett70084@uni.ac.ke
70085,Hannah,Ahmed,hannah.ahmed70085@college.ac.ke
70086,Gordon,Khalid,gordon.khalid70086@school.ac.ke
70087,John,Musa,john.musa70087@college.ac.ke
70088,Irene,Njoki,irene.njoki70088@college.ac.ke
70089,Janet,Mutai,janet.mutai70089@students.ac.ke
70090,John,Akumu,john.akumu70090@students.ac.ke
70091,Raymond,Odhiambo,raymond.odhiambo70091@college.ac.ke
70092,Agnes,Mutisya,agnes.mutisya70092@school.ac.ke
70093,Esther,Mutisya,esther.mutisya70093@uni.ac.ke
70094,Gloria,Kimani,gloria.kimani70094@academy.ac.ke
70095,Catherine,Owino,catherine.owino70095@uni.ac.ke
70096,Francis,Ndegwa,francis.ndegwa70096@uni.ac.ke
70097,Alice,Lagat,alice.lagat70097@students.ac.ke
70098,Janet,Abdi,janet.abdi70098@academy.ac.ke
70099,Naomi,Kiprotich,naomi.kiprotich70099@school.ac.ke
70100,Dennis,Abdi,dennis.abdi70100@students.ac.ke
70101,Brian,Kasyoka,brian.kasyoka70101@college.ac.ke
70102,Lydia,Njoroge,lydia.njoroge70102@academy.ac.ke
70103,Hannah,Kyalo,hannah.kyalo70103@college.ac.ke
70104,Ivan,Kariuki,ivan.kariuki70104@students.ac.ke
70105,David,Farah,david.farah70105@academy.ac.ke
70106,Eric,Onyango,eric.onyango70106@students.ac.ke
70107,Gordon,Otieno,gordon.otieno70107@uni.ac.ke
70108,Lewis,Abdi,lewis.abdi70108@academy.ac.ke
70109,Ruth,Kamau,ruth.kamau70109@uni.ac.ke
70110,Raymond,Mutua,raymond.mutua70110@school.ac.ke
70111,David,Mwenda,david.mwenda70111@uni.ac.ke
70112,Helen,Ndegwa,helen.ndegwa70112@students.ac.ke
70113,Peter,Musa,peter.musa70113@uni.ac.ke
70114,Mary,Njoki,mary.njoki70114@academy.ac.ke
70115,Eric,Akumu,eric.akumu70115@college.ac.ke
70116,Kenneth,Njoroge,kenneth.njoroge70116@academy.ac.ke
70117,Robert,Chebet,robert.chebet70117@academy.ac.ke
70118,Janet,Wairimu,janet.wairimu70118@academy.ac.ke
70119,David,Kyalo,david.kyalo70119@students.ac.ke
